MW,HBA,HDA,LogP
419.0762762720004,6,3,1.7451000000000003
448.07160549200046,5,3,2.854120000000001
441.14573782400066,8,3,1.3523
425.0780521880004,9,3,1.0575999999999997
435.0987876320005,8,3,1.3829199999999995
427.0395585040004,9,3,1.1360000000000001
489.1933567120008,6,3,2.7373000000000003
446.9445912680004,7,3,2.1119000000000003
439.10895839200055,6,3,2.954900000000001
421.1195230760005,7,3,2.0767
421.1195230760005,7,3,2.0751
419.10387301200046,7,3,1.6112999999999995
434.1147720440005,7,4,1.5547199999999988
434.1147720440005,7,3,1.270599999999999
419.1038730120005,7,3,1.6128999999999998
445.0806929560004,6,3,2.61512
440.07119298000043,8,4,0.9855
431.0650428920004,6,3,2.3067
423.0987876320005,8,3,1.3050999999999997
420.0627364720004,9,4,1.1346999999999996
438.12494280400057,5,3,3.605500000000002
430.07694705600045,8,3,3.4071000000000016
436.1304221080006,7,3,2.1245000000000003
440.08242636000057,8,3,0.7986000000000002
420.1355074880006,6,3,2.3619000000000003
443.1151063920005,8,3,2.5848000000000004
440.08242636000045,9,3,0.5385200000000003
436.0762783600005,8,3,2.365900000000001
417.9292755520004,6,3,2.0374
446.9178978520003,6,3,3.228600000000001
420.1355074880006,6,3,3.1392000000000015
446.91789785200035,6,3,3.228600000000001
437.15216059600056,7,3,2.822120000000001
422.15901980400065,8,3,1.8019999999999998
418.1198574240006,6,3,2.0233
437.1409272160006,6,3,3.352100000000001
424.17466986800065,8,3,2.9099000000000013
418.0446417960003,6,4,2.1833
432.13550748800066,6,3,1.9589999999999999
440.1042073600005,6,3,3.3754000000000017
438.12494280400057,5,3,3.352920000000001
466.1198574240006,6,3,3.2471000000000014
440.1042073600005,6,3,3.375400000000001
455.0787208840004,7,3,3.2750000000000012
428.0842208640005,5,3,3.5059000000000022
430.06571367600054,6,3,3.1060000000000016
452.08088507200057,6,3,2.1388999999999996
496.03036949200055,6,3,2.2479999999999993
441.09945632800054,7,3,2.7704000000000004
439.0737157560004,8,3,1.2136000000000002
428.12533672800055,8,3,0.17130000000000212
427.1300877600006,8,3,0.9605999999999999
439.0856361040005,6,3,3.064700000000001
456.11552099200054,5,3,2.9811000000000014
421.1195230760005,7,3,1.9133399999999994
435.07880113600044,7,3,2.4816199999999995
449.0556210800004,6,3,2.4458
449.0556210800004,6,3,2.4458
430.9997135600004,6,3,2.5947000000000005
440.98817033200044,6,3,2.0504000000000002
428.95178482400036,7,3,2.4403000000000006
436.11266386800065,6,3,2.66082
442.9674348880003,7,3,2.5838
428.95178482400024,7,4,2.6603200000000005
438.12494280400057,5,3,3.352920000000002
419.99944119200023,6,4,2.7812
427.9677692360003,6,4,2.6121
419.02865738400027,7,3,2.7113000000000005
428.0842208640005,5,3,3.5059000000000022
422.07838653600044,8,3,1.3372
421.09437094800046,7,4,0.556
484.09403660000055,8,3,2.6095000000000006
438.1096866640005,8,3,1.4742999999999993
424.1104356120005,6,3,2.2306999999999997
427.09911989200043,7,3,3.5177000000000014
252.074621484,5,3,0.29459999999999975
307.1168206440005,5,4,1.0101999999999995
340.1535405000006,6,2,1.4268999999999994
294.1038134360005,5,2,1.3009999999999997
286.10659030800036,6,2,0.8381999999999992
286.0623425480004,5,3,0.8613999999999999
286.0623425480004,5,3,0.8613999999999999
334.18925731200073,5,2,2.4892000000000003
334.18925731200073,5,2,2.4892000000000003
418.0390202600004,6,3,3.3866000000000014
448.1304221080007,7,4,2.7189000000000014
424.1104356120005,6,3,2.2306999999999997
424.1104356120005,6,3,2.2306999999999997
436.13042210800063,7,3,2.100199999999999
444.2008846160008,8,3,2.7899000000000003
425.98850468000035,6,3,2.731
420.0320837440005,5,3,2.671100000000001
387.9687477800003,5,3,2.8173000000000004
387.9687477800003,5,3,2.8173000000000004
478.14098679200066,8,3,2.2528999999999995
439.1543490240006,5,3,3.4541000000000013
438.1539344240006,9,3,1.6382999999999992
291.0855205160004,5,3,0.10649999999999982
458.0817576640005,8,3,1.264
442.06169091600054,9,4,0.29110000000000014
290.03612780000026,5,3,2.0234999999999994
236.079706864,4,3,0.34579999999999944
307.1168206440005,5,4,1.0101999999999995
292.14230712000057,5,2,1.4303
278.1266570560005,5,2,1.1029
296.09094024400036,6,2,1.3431999999999997
282.1215716760005,6,3,0.010999999999999843
277.0698704520003,7,2,0.9801199999999999
334.18925731200073,5,2,2.4892000000000003
456.10249310800054,7,3,2.1687000000000003
418.09987092800054,6,3,2.0705
448.1668076160007,6,3,2.1202199999999998
420.1355074880006,6,3,2.6202000000000005
435.1100210120005,8,3,0.8863000000000001
435.1100210120005,8,3,0.8863000000000001
445.0766127080006,9,3,3.220900000000002
435.1100210120005,7,4,1.4138999999999995
420.1355074880006,6,3,2.4000199999999996
444.2008846160008,8,3,2.7899000000000003
441.07296680800044,10,3,1.6747999999999998
422.1147720440005,7,3,2.3175999999999997
436.08597045200054,6,3,3.2936000000000005
436.08597045200054,6,3,3.2936000000000005
438.09192842400057,7,3,2.1887000000000008
438.09192842400057,7,3,2.1887000000000008
418.1198574240006,6,3,2.161999999999999
447.09226277200054,9,3,3.737540000000002
430.06462829200035,7,3,1.6936000000000002
422.1147720440005,7,4,1.4514999999999998
463.1413211400006,7,3,1.5489999999999997
266.1266570560003,5,2,1.0401999999999996
441.13584183600057,6,3,2.9323000000000006
425.14092721600065,5,4,3.19834
427.08380626400043,8,3,1.3738000000000001
433.1849002040007,7,3,1.8333999999999997
454.11985742400054,6,3,3.4418000000000024
252.074621484,5,3,0.29459999999999975
424.07627836000063,7,3,2.1037
456.98308495200047,7,3,2.4068000000000005
476.0211772760005,7,3,2.6255000000000015
417.9793124640004,6,3,2.0801000000000003
445.9583474240004,6,3,1.6749
433.1307564560007,6,4,2.4734
455.99906936400055,6,3,2.2196
251.079372516,5,3,0.9729000000000001
253.058637072,6,3,0.5631999999999997
440.08895122000047,9,3,0.7991000000000004
443.1151063920006,7,3,2.180839999999999
432.06029186000046,6,3,2.2429000000000006
444.0773409800005,9,4,0.5371000000000004
457.0943709480006,8,3,2.606700000000001
447.1464065200007,6,3,3.3587000000000025
419.98527043600035,7,3,1.2516000000000003
280.14230712000057,5,2,1.4302999999999995
282.1215716760005,6,3,0.010999999999999843
456.10249310800054,7,3,2.1687000000000003
440.1695844880007,9,3,2.746200000000001
420.16852186800065,5,3,2.320800000000001
418.1295495160006,5,3,2.7296000000000014
434.15115755200065,6,3,2.199299999999999
440.0808850720005,6,3,1.8290999999999995
445.0766127080006,9,3,3.220900000000002
435.1100210120005,7,4,1.4138999999999995
440.1042073600005,6,3,3.5115200000000018
420.1355074880006,6,3,2.4000199999999996
449.0989776600005,7,3,3.104700000000001
418.1528718040006,5,3,3.1298000000000012
454.11985742400066,6,3,2.923300000000001
462.0555429160005,7,3,2.7516000000000016
442.08684304400055,7,3,2.410920000000001
485.12904220400065,8,3,2.4131
442.05045753600047,8,4,1.0970999999999997
436.08597045200054,6,3,3.2936000000000005
420.01196385200035,8,3,0.5981000000000003
480.0354548720005,6,3,3.402700000000001
480.0354548720005,6,3,3.402700000000001
426.06523500800046,6,3,2.7440000000000007
441.12460845600066,6,3,3.6170000000000027
461.9287968840004,6,3,2.1892000000000005
440.1219656000005,8,3,2.5661000000000005
441.13584183600057,6,3,2.9323000000000006
427.1201917720005,6,4,2.5900999999999996
449.11985533600046,5,4,3.4354000000000013
449.11985533600046,5,4,3.4354000000000013
444.07913548400046,7,3,2.1178999999999997
442.08684304400055,7,3,2.4926000000000004
428.0444995640004,7,3,1.5803999999999998
428.0444995640004,7,3,1.5803999999999998
432.06029186000035,6,3,2.97222
433.0943709480006,7,3,1.7039199999999999
433.0943709480006,7,3,1.7039199999999999
446.0783865360005,8,3,1.9453
471.07700663200046,8,3,0.08862000000000142
476.0211772760005,7,3,2.6255000000000015
467.11510639200054,7,3,2.3924000000000003
470.08961991600046,9,3,3.3050000000000015
420.1355074880006,6,3,2.6131
440.08895122000047,9,3,0.7991000000000004
440.08895122000047,9,3,0.7991000000000004
424.07627836000046,7,3,1.9595999999999998
420.1355074880006,6,3,2.2741999999999996
448.1668076160007,6,3,2.10256
418.0390202600004,6,3,3.3866000000000014
436.14344999200057,5,3,3.5139000000000022
424.19982199600076,5,3,2.9289000000000005
462.0555429160005,7,3,2.7516000000000016
433.1307564560006,7,3,1.6524999999999992
462.05554291600055,7,3,2.7516000000000016
438.09192842400057,7,3,2.1887000000000008
428.0711929800005,7,3,1.0976000000000001
421.09437094800046,7,3,0.5081000000000004
480.0354548720005,6,3,3.402700000000001
418.0834719160005,7,3,1.156
434.11477204400063,7,3,1.5477
443.1315054040006,5,3,3.4529000000000014
425.14092721600065,5,3,3.3138000000000014
449.11985533600046,5,4,3.4354000000000013
432.04497823200046,8,3,2.0403
420.2008846160007,7,3,2.182599999999999
432.06029186000035,6,3,2.97222
433.09437094800046,7,3,1.7855999999999999
422.15901980400065,8,3,2.779800000000001
433.13075645600065,7,3,2.683700000000001
424.15468337200065,6,3,3.417700000000001
454.11985742400066,6,3,3.4418000000000015
420.1355074880006,6,3,2.1583999999999994
484.0974077280007,8,3,1.0858000000000005
424.0940366000005,8,3,2.1457000000000006
438.10968666400055,8,3,1.3257
