MW,HBA,HDA,LogP
584.2975010300013,8,6,2.458500000000001
429.0285151520004,8,4,2.7882000000000007
441.05520856800047,9,3,1.0648999999999997
429.0693793240004,7,3,1.8893
418.0446417960003,6,4,2.1833
418.03047104000035,7,4,1.7919
422.03393488000034,7,3,1.8129800000000003
421.08313756800044,8,3,1.0744999999999996
444.1103553600006,9,3,0.9277000000000002
417.9292755520004,6,3,1.7609999999999997
426.0667762960005,8,4,0.4548000000000001
420.8925556960003,8,4,2.4134
442.05045753600047,8,3,0.9120999999999997
418.0528191880005,4,3,3.2822000000000013
426.09192842400057,6,3,2.1913
444.11035536000054,8,3,1.9582999999999995
418.1198574240006,6,3,1.7113999999999998
440.10757848800057,6,3,2.3324000000000007
490.01906910000054,6,3,3.659200000000001
462.1460721720007,7,3,2.4166
490.0190691000005,6,3,3.659200000000001
462.14607217200063,7,3,2.5623000000000005
440.10420736000054,6,3,3.375400000000001
426.97252026800027,6,3,2.8836199999999996
428.12533672800055,8,3,0.17130000000000212
439.10895839200055,6,3,2.954900000000001
420.09912198000046,7,4,0.6475000000000003
443.11510639200054,8,3,1.5326999999999993
419.1402585200006,6,3,2.4127
449.0556210800004,6,3,2.4458
446.1147720440005,7,4,1.5175999999999994
442.09807642400057,8,3,1.0445999999999998
425.04483391200046,6,4,0.5929999999999995
424.98507832000024,7,3,2.1847000000000008
457.07661270800054,7,3,3.330000000000002
431.99496252800037,7,3,1.9897000000000002
437.1409272160006,6,3,3.352100000000001
430.9674348880003,7,3,2.6709000000000005
441.0649006600005,7,3,3.492500000000003
434.99462818000035,7,3,3.223200000000001
425.98850468000035,5,3,2.835400000000001
428.0842208640005,5,3,3.5059000000000022
446.0606282960005,6,3,2.915300000000001
427.08380626400043,7,3,2.4007000000000005
418.0834719160004,7,3,1.5519999999999996
418.0834719160004,7,3,1.5519999999999996
452.08088507200057,6,3,2.1388999999999996
452.08088507200057,6,3,2.1388999999999996
418.1528718040006,5,3,3.432100000000002
422.1147720440005,7,3,1.6379999999999992
431.11510639200054,7,3,2.7121000000000004
457.16377083600065,5,3,2.7657000000000007
437.98850468000046,5,3,2.7617000000000003
426.97252026800027,6,3,2.8836199999999996
418.0201766360003,5,3,3.004500000000001
428.03480747200035,10,3,0.5309999999999998
442.1409867920006,8,3,0.41890000000000194
428.12533672800055,8,3,0.17130000000000212
439.0737157560004,8,3,1.2136000000000002
422.07838653600044,8,3,1.3372
489.1933567120008,6,3,2.7373000000000003
420.1355074880006,6,3,2.2638999999999996
426.09192842400057,6,3,0.7541000000000009
441.06490066000043,7,3,2.2583199999999994
445.01536362400043,6,3,2.735800000000001
425.0944512000005,7,3,1.7440199999999997
438.1460721720007,7,3,0.6298000000000008
430.9997135600004,6,3,2.5947000000000005
447.0599575120004,7,3,2.1865000000000006
418.94744839200024,6,3,2.8014
429.1358418360006,6,3,2.5497000000000005
440.98817033200044,6,3,2.5705
488.08088507200057,6,3,3.5767000000000015
434.9082057600002,8,3,2.5018000000000002
428.04449956400043,8,3,1.3448999999999998
419.0674875040004,8,3,0.9582999999999999
432.1355074880006,7,3,1.6703
447.0987876320005,8,3,1.4740999999999995
442.9674348880003,7,3,2.5838
428.0711929800005,7,3,1.9216999999999997
683.1727321820007,11,4,2.6695
432.0602918600004,6,3,2.1292999999999997
430.05045753600047,8,4,1.6614
421.00792194000024,8,4,2.4879999999999995
426.0555429160005,7,3,1.6756999999999997
440.94525996400046,6,3,3.3286000000000007
426.05554291600043,7,3,1.3599999999999999
424.0762783600006,6,3,1.8636199999999998
430.06571367600054,6,3,3.3572000000000024
418.92298323200026,5,3,3.2360000000000007
424.10929274000057,5,3,3.044500000000001
420.09105583200056,5,3,3.457300000000001
490.01906910000054,6,3,3.659200000000001
422.02774731200043,4,3,2.9739000000000013
468.0991219800005,7,3,3.1380000000000017
482.1147720440005,7,3,3.528100000000002
464.04054025200054,5,3,3.5664000000000016
420.13550748800066,6,3,2.6514000000000006
428.10420736000054,6,3,2.945920000000001
460.0633838720006,5,3,3.182500000000001
464.1583511080006,7,3,3.6007000000000016
434.13117105600065,5,3,3.072700000000002
452.08088507200057,6,3,2.1388999999999996
428.0842208640005,5,3,3.5059000000000022
428.20596999600076,7,3,2.9536000000000007
