ZINC000481977450 O=C(O)Cc1ccc(S(=O)(=O)Nc2cccc(S(=O)(=O)Nc3ccccc3)c2)cc1
ZINC000481982844 NC(=O)c1cccc(Oc2ccc(NS(=O)(=O)c3ccc(CC(=O)O)cc3)cn2)c1
ZINC000497445501 O=C(O)Cc1ccc(NS(=O)(=O)c2ccc(N3C[C@H](C(=O)O)CC3=O)cc2)cc1
ZINC000497445506 O=C(O)Cc1ccc(NS(=O)(=O)c2ccc(N3C[C@@H](C(=O)O)CC3=O)cc2)cc1
ZINC000543433835 CS(=O)(=O)CC[C@H](NC(=O)c1ccccc1Cl)C(=O)Nc1ccc(CC(=O)O)cc1
ZINC000543434280 CS(=O)(=O)CC[C@@H](NC(=O)c1ccc(Cl)cc1)C(=O)Nc1ccc(CC(=O)O)cc1
ZINC000544391422 COc1ccc(C(=O)N[C@@H](C(=O)Nc2ccc(CC(=O)O)cc2)c2ccccc2)cc1
ZINC000544392045 COc1ccc(S(=O)(=O)NCCC(=O)Nc2ccc(CC(=O)O)cc2)cc1OC
ZINC000544392144 CSCC[C@@H](NC(=O)c1cccc([N+](=O)[O-])c1)C(=O)Nc1ccc(CC(=O)O)cc1
ZINC000544392301 O=C(O)Cc1ccc(NC(=O)CNC(=O)[C@H]2c3ccccc3C(=O)N2Cc2ccccc2)cc1
ZINC000545121519 O=C(O)Cc1ccc(NS(=O)(=O)c2cc3c(cc2Br)CCC(=O)N3)cc1
ZINC000545827459 Cc1c(Br)cc(S(=O)(=O)Nc2ccc(CC(=O)O)cc2)cc1C(=O)O
ZINC000547241742 CC(=O)Nc1cc(F)c(S(=O)(=O)Nc2ccc(CC(=O)O)cc2)c(F)c1Cl
ZINC000619471811 COC(=O)c1ncsc1S(=O)(=O)N[C@H](Cc1ccc(CC(=O)O)cc1)C(=O)O
ZINC000619471827 CCOC(=O)[C@H]1CCCN(S(=O)(=O)N[C@H](Cc2ccc(CC(=O)O)cc2)C(=O)O)C1
ZINC000619471856 CCOC(=O)[C@H]1CCCN1S(=O)(=O)N[C@H](Cc1ccc(CC(=O)O)cc1)C(=O)O
ZINC000619471906 COC(=O)c1cc(F)ccc1S(=O)(=O)N[C@@H](Cc1ccc(CC(=O)O)cc1)C(=O)O
