ZINC000748639614 O=C(O)Cc1ccc(S(=O)(=O)NNc2ccc(S(=O)(=O)N3CCCC3)cn2)cc1
ZINC000748640744 CCOC(=O)C1=C(C)Nc2ccccc2N=C1NS(=O)(=O)c1ccc(CC(=O)O)cc1
ZINC000915940754 CC(=NNC(=S)Nc1c(C)n(C)n(-c2ccccc2)c1=O)c1ccc(CC(=O)O)cc1
ZINC001116556043 O=C(O)Cc1ccc(NC(=O)[C@@H]2CN(Cc3nc(O)c4ccccc4n3)CCO2)cc1
ZINC000439059865 O=C(NCC(F)(F)F)c1ccc(S(=O)(=O)Nc2ccc(C(=O)O)c(O)c2)cc1
ZINC000481972934 COc1ccccc1NC(=O)c1ccc(NS(=O)(=O)c2ccc(CC(=O)O)cc2)cc1
ZINC000542504420 COc1ccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccc(CC(=O)O)cc3)c2)cc1
ZINC000542504663 O=C(O)Cc1ccc(NC(=O)c2cccc(S(=O)(=O)Nc3ccc(F)cc3)c2)cc1
ZINC000671645060 CC(C)c1ccc(Cl)c(S(=O)(=O)N[C@H](Cc2ccc(CC(=O)O)cc2)C(=O)O)c1
ZINC000680360033 O=C(O)Cc1ccc(NC(=O)[C@@H](Cc2ccccc2)NS(=O)(=O)c2ccccc2F)cc1
ZINC000684561662 Cc1c(S(=O)(=O)N[C@H](Cc2ccc(CC(=O)O)cc2)C(=O)O)oc2ccc(F)cc12
ZINC000684562287 O=C(O)Cc1ccc(C[C@H](NS(=O)(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1
ZINC000431975834 Cc1ccc(C(=O)Nc2ccc(CC(=O)O)cc2)cc1S(=O)(=O)NCc1ccccc1
ZINC000436769556 CC(=O)Nc1cc(F)c(S(=O)(=O)Nc2ccc(C(=O)O)c(O)c2)c(F)c1Cl
ZINC000512576223 O=C(O)COc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCc2ccc3c(c2)OCO3)cc1
ZINC000543710649 COc1ccc(S(=O)(=O)NCCC(=O)Nc2ccc(OCC(=O)O)cc2)cc1OC
ZINC000499190893 O=C(O)COc1ccc(NC(=O)CCNc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1
ZINC000290365767 O=C(NC[C@@H]1CCCO1)Nc1ccc(NC(=O)C(=O)O)cc1
ZINC000290587321 O=C(O)C(=O)Nc1ccc(Cc2nnc3n2CCC3)cc1
ZINC000354969266 CCCS(=O)(=O)Nc1ccc(NC(=O)C(=O)O)cc1
ZINC000437000476 O=C(O)COc1ccc(S(=O)(=O)Nc2ccc(C(=O)NC3CCCCC3)c(O)c2)cc1
ZINC000499188880 COc1ccc(S(=O)(=O)N[C@H](C(=O)Nc2ccc(OCC(=O)O)cc2)C(C)C)cc1
ZINC000540923868 C[C@H](NC(=O)c1ccc(Br)s1)C(=O)Nc1ccc(OCC(=O)O)cc1
ZINC001777086755 CN1C(=O)N[C@](C)(c2ccc(NC(=O)C(=O)O)cc2)C1=O
ZINC000032592608 O=C(O)COc1ccc(S(=O)(=O)NNc2ccc(S(=O)(=O)NC3CC3)cn2)cc1
ZINC000083915544 CC(=O)NCc1ccc(NC(=O)C(=O)O)cc1
ZINC000290507886 C[C@@H](c1ccc(NC(=O)C(=O)O)cc1)N1CCOCC1
ZINC000354983028 O=C(O)C(=O)Nc1ccc(Cc2nnc3ccccn23)cc1
ZINC000354987228 Cc1nc(COc2ccc(NC(=O)C(=O)O)cc2)no1
ZINC000409878079 CC(C)(C)NS(=O)(=O)Cc1cccc(NS(=O)(=O)c2ccc(OCC(=O)O)cc2)c1
ZINC000499168801 NS(=O)(=O)c1ccc(N2CCOCC2)c(C(=O)Nc2ccc(OCC(=O)O)cc2)c1
ZINC000540923869 CSCC[C@H](NC(=O)c1ccccc1Cl)C(=O)Nc1ccc(OCC(=O)O)cc1
ZINC000542782430 O=C(O)COc1ccc(NC(=O)CCc2ccc(S(=O)(=O)NC3CC3)cc2)cc1
ZINC000543711021 Cc1sc2nc(CS[C@@H](C)C(=O)Nc3ccc(OCC(=O)O)cc3)nc(O)c2c1C
ZINC000566947584 NC(=O)c1ccc(OCC(F)F)c(NS(=O)(=O)c2ccc(OCC(=O)O)cc2)c1
ZINC000605652711 CC[C@@H](CO)NC(=O)c1ccc(NS(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1
ZINC000915187049 O=C(O)COc1ccc(S(=O)(=O)NNC(=O)c2ccc(Cl)cc2Cl)cc1
ZINC000917903744 C[C@H](NS(=O)(=O)c1ccc(OCC(=O)O)cc1)c1ccc(NC(=O)NC2CC2)cc1
ZINC001604223334 C[C@H](Cc1ccc(NC(=O)C(=O)O)cc1)C(=O)O
ZINC001608730942 O=C(O)CCOc1ccc(NC(=O)C(=O)O)cc1
ZINC000032594896 CC(C)NS(=O)(=O)c1ccc(NNS(=O)(=O)c2ccc(OCC(=O)O)cc2)nc1
ZINC000486315315 O=C(O)COc1ccc(CCNC(=O)CNC(=O)Cc2cccc3ccccc23)cc1
ZINC000486330437 CC(=O)N[C@@H](CC(=O)NCCc1ccc(OCC(=O)O)cc1)c1ccc(Cl)cc1
ZINC000486336426 CC[C@H](C)NS(=O)(=O)c1ccc(C(=O)NCCc2ccc(OCC(=O)O)cc2)cc1
ZINC000486345523 C[C@H](NS(=O)(=O)c1ccc(Cl)cc1)C(=O)NCCc1ccc(OCC(=O)O)cc1
ZINC000521014408 CCCCNc1ccc(S(=O)(=O)N(C)C)cc1NS(=O)(=O)c1ccc(OCC(=O)O)cc1
ZINC000604497661 CSCC[C@H](NC(=O)c1ccccc1Br)C(=O)Nc1ccc(OCC(=O)O)cc1
ZINC000773263812 C[C@@H](Oc1cccc(Cl)c1)C(=O)NNS(=O)(=O)c1ccc(OCC(=O)O)cc1
ZINC000915045025 O=C(O)COc1ccc(S(=O)(=O)NNC(=O)c2ccc(COc3ccccc3)o2)cc1
ZINC000915917140 O=C(O)COc1ccc(C=NNC(=O)c2cccc(S(=O)(=O)NCc3ccccc3)c2)cc1
ZINC000916255596 O=C(O)COc1ccc(C=NNc2ccc(S(=O)(=O)Nc3ccccc3)cc2[N+](=O)[O-])cc1
ZINC000431510183 CCCS(=O)(=O)Nc1ccccc1C(=O)NCCc1ccc(OCC(=O)O)cc1
ZINC000486342561 O=C(O)COc1ccc(CCNC(=O)c2cccc(NC(=O)c3ccc(F)cc3)c2)cc1
ZINC000486357327 O=C(O)COc1ccc(CCNC(=O)c2ccc(CNC(=O)C3CCCC3)cc2)cc1
ZINC000515854672 O=C(O)COc1ccc(S(=O)(=O)Nc2cccc(S(=O)(=O)Nc3ccccc3)c2)cc1
ZINC000540924248 CSCC[C@H](NS(=O)(=O)c1ccccc1)C(=O)Nc1ccc(OCC(=O)O)cc1
ZINC000794612292 CC[C@@H]1NC(=O)N(c2cccc(NS(=O)(=O)c3ccc(OCC(=O)O)cc3)c2)C1=O
ZINC000814759963 CC(CCc1ccc(OCC(=O)O)cc1)=NNC(=O)c1nn(-c2ccccc2)cc1O
ZINC000814856628 CC(CCc1ccc(OCC(=O)O)cc1)=NNC(=O)Nc1ccc(S(C)(=O)=O)cc1
ZINC000814878263 CC(CCc1ccc(OCC(=O)O)cc1)=NNC(=O)c1cc(-c2ccc(F)cc2)[nH]n1
ZINC000915291926 C[C@H](NS(=O)(=O)c1ccc(OCC(=O)O)cc1)c1cccc(NC(=O)c2ccccc2)c1
ZINC000917895291 CCCCNC(=O)c1ccc(CNS(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1
ZINC000917907948 O=C(O)COc1ccc(S(=O)(=O)NCc2ccc(S(=O)(=O)NC[C@H]3CCCO3)cc2)cc1
ZINC000431998750 O=C(O)COc1ccc(NC(=O)CNC(=O)c2sc3ccccc3c2Cl)cc1
ZINC000499192193 CC(=O)NC1(c2noc(CCC(=O)Nc3ccc(OCC(=O)O)cc3)n2)CCCCCC1
